attraction_new_krymskiy_akademicheskiy_teatr_gorkogo	Крымский академический театр имени Горького	Симферополь	Симферополь, ул. Пушкина, 15		
attraction_new_krymskiy_etnograficheskiy_muzey	Крымский этнографический музей	Симферополь	Симферополь, ул. Пушкина, 18		
attraction_new_kupalni_roffe	Купальни Роффе	Ялта			
attraction_new_kurgan_kul_oba	Курган Куль-Оба	Керчь			
attraction_new_kurortnyy_park_saki	Курортный парк Саки	Евпатория			
attraction_new_kutlakskaya_krepost	Кутлакская крепость	Судак			
attraction_new_kuchuk_lambatskiy_kamennyy_haos	Кучук-Ламбатский каменный хаос	Симферополь			
attraction_new_kyz_kermen	Кыз-Кермен	Бахчисарай			
attraction_new_lebyazhi_ostrova	Лебяжьи острова	Научный			
attraction_new_lisya_buhta	Лисья бухта	Коктебель			
attraction_new_literaturno_hudozhestvennyy_muzey	Литературно-художественный музей Старого Крыма	Коктебель			
attraction_new_lyuteranskaya_kirha_uyutnoe	Лютеранская кирха в Судаке	Судак			
attraction_new_eski_dyurbe	Мавзолей Эски-Дюрбе	Бахчисарай			
attraction_new_maksimova_dacha	Максимова дача в Севастополе	Севастополь			
attraction_new_malaya_mitridatskaya_lestnitsa	Малая Митридатская лестница	Керчь			
attraction_new_kanatnaya_doroga_yalta_gorka	Малая канатная дорога Ялта — Горка	Ялта			
attraction_new_malorechenskoe_park_knyazhevichey	Малореченский парк Княжевичей	Алушта			
attraction_new_malyy_ierusalim	Малый Иерусалим в Евпатории	Евпатория			
